Слово,Количество,Частота(%)
shoulders,107,0.0182323
peace,107,0.0182323
able,107,0.0182323
dark,107,0.0182323
handsome,107,0.0182323
military,106,0.0180619
raised,106,0.0180619
attack,106,0.0180619
asking,105,0.0178915
campaign,105,0.0178915
close,105,0.0178915
Your,105,0.0178915
trievna,105,0.0178915
Mamma,105,0.0178915
fine,105,0.0178915
sometimes,104,0.0177211
turn,104,0.0177211
everybody,104,0.0177211
running,104,0.0177211
silence,103,0.0175507
considered,103,0.0175507
remembered,103,0.0175507
generals,103,0.0175507
Smol,103,0.0175507
shouting,103,0.0175507
dress,103,0.0175507
hussars,103,0.0175507
Not,102,0.0173803
y,102,0.0173803
late,102,0.0173803
straight,102,0.0173803
guns,101,0.0172099
business,101,0.0172099
sister,101,0.0172099
aim,101,0.0172099
Is,101,0.0172099
Uncle,101,0.0172099
legs,101,0.0172099
decided,101,0.0172099
Frenchman,100,0.0170395
return,100,0.0170395
galloped,100,0.0170395
ought,100,0.0170395
thin,100,0.0170395
body,100,0.0170395
please,100,0.0170395
Go,100,0.0170395
run,99,0.0168691
struck,99,0.0168691
beyond,99,0.0168691
flank,99,0.0168691
company,99,0.0168691
questions,98,0.0166987
Bez,98,0.0166987
Berg,98,0.0166987
four,98,0.0166987
Let,97,0.0165283
fresh,97,0.0165283
closed,97,0.0165283
carried,97,0.0165283
case,97,0.0165283
laws,97,0.0165283
changed,96,0.0163579
upon,96,0.0163579
unable,96,0.0163579
uniform,96,0.0163579
German,95,0.0161875
meaning,95,0.0161875
interrupted,95,0.0161875
cry,95,0.0161875
talked,95,0.0161875
tomorrow,95,0.0161875
wrote,94,0.0160171
blue,94,0.0160171
laughing,94,0.0160171
Just,93,0.0158468
arrived,93,0.0158468
opinion,93,0.0158468
tski,93,0.0158468
Bonaparte,93,0.0158468
Come,93,0.0158468
ten,93,0.0158468
live,93,0.0158468
rapidly,93,0.0158468
remarked,92,0.0156764
Though,92,0.0156764
expected,92,0.0156764
sight,92,0.0156764
colonel,92,0.0156764
lady,91,0.015506
corner,91,0.015506
duty,91,0.015506
clearly,91,0.015506
occupied,90,0.0153356
hope,90,0.0153356
plan,90,0.0153356
event,90,0.0153356
ladies,90,0.0153356
spent,89,0.0151652
meeting,89,0.0151652
covered,89,0.0151652
Where,89,0.0151652
master,88,0.0149948
gazed,88,0.0149948
beginning,88,0.0149948
experienced,88,0.0149948
rather,88,0.0149948
living,88,0.0149948
five,88,0.0149948
particularly,87,0.0148244
porch,87,0.0148244
subject,87,0.0148244
cannon,87,0.0148244
forces,87,0.0148244
pleased,87,0.0148244
pleasant,86,0.014654
captain,86,0.014654
Who,86,0.014654
